"id","incidentId","investigationId","assignedTo","severity","status","classification","determination","investigationState","detectionSource","category","threatFamilyName","title","description","alertCreationTime","firstEventTime","lastEventTime","lastUpdateTime","resolvedTime","machineId","computerDnsName","aadTenantId","relatedUser","comments","evidence"
"da637270911403675267_-1959512950","37",,,"High","New",,,"UnsupportedAlertType","CustomDetection","SuspiciousActivity",,"test","test","2020-06-07T01:45:40.3206549Z","2020-06-07T00:37:51.4809773Z","2020-06-07T02:40:22.9350952Z","2020-06-07T02:50:47.03Z",,"b2961f5b486f70c9cfe20a9f23303b68aa999e26","x1carbon.bitsbyteslab.local","180d0ab3-320f-4979-841a-a7590105e3a2","@{userName=ray.bishun; domainName=bitsbyteslab}","System.Object[]","System.Object[]"
"da637270717944283710_-67940066","36",,,"High","New",,,"UnsupportedAlertType","CustomDetection","SuspiciousActivity",,"test","test","2020-06-06T20:23:14.38151Z","2020-05-08T03:55:22.632309Z","2020-06-05T15:36:50.5452971Z","2020-06-06T20:23:39.5633333Z",,"201837e5b903c71207fe84a777386fe0bd41d0a0","x1extreme.bitsbyteslab.local","180d0ab3-320f-4979-841a-a7590105e3a2","@{userName=ray; domainName=x1extreme}","System.Object[]","System.Object[]"
"da637270717923502693_2128737147","35",,,"High","New",,,"UnsupportedAlertType","CustomDetection","SuspiciousActivity",,"test","test","2020-06-06T20:23:12.3034099Z","2020-05-09T23:58:27.2813729Z","2020-06-06T00:24:12.104078Z","2020-06-06T20:23:39.01Z",,"b2961f5b486f70c9cfe20a9f23303b68aa999e26","x1carbon.bitsbyteslab.local","180d0ab3-320f-4979-841a-a7590105e3a2","@{userName=ray.bishun; domainName=bitsbyteslab}","System.Object[]","System.Object[]"
"da637270674275100873_1222693936","34",,,"High","New",,,"UnsupportedAlertType","CustomDetection","Malware",,"The infamous 'calc.exe' has been detected","The infamous 'calc.exe' has been detected...","2020-06-06T19:10:27.2131608Z","2020-06-06T19:03:39.1565509Z","2020-06-06T19:03:39.1565509Z","2020-06-06T19:10:28.56Z",,"201837e5b903c71207fe84a777386fe0bd41d0a0","x1extreme.bitsbyteslab.local","180d0ab3-320f-4979-841a-a7590105e3a2","@{userName=ray; domainName=x1extreme}","System.Object[]","System.Object[]"
