"id","incidentId","investigationId","assignedTo","severity","status","classification","determination","investigationState","detectionSource","category","threatFamilyName","title","description","alertCreationTime","firstEventTime","lastEventTime","lastUpdateTime","resolvedTime","machineId","computerDnsName","aadTenantId","relatedUser","comments","evidence"
"da637271702753231501_-1521469912","38",,,"High","New",,,"UnsupportedAlertType","CustomDetection","SuspiciousActivity",,"Notepad Execution Detected","Notepad can be used to...","2020-06-07T23:44:35.2763136Z","2020-06-07T03:11:00.2130006Z","2020-06-13T23:23:56.3901151Z","2020-06-13T23:30:48.5166667Z",,"b2961f5b486f70c9cfe20a9f23303b68aa999e26","x1carbon.bitsbyteslab.local","180d0ab3-320f-4979-841a-a7590105e3a2","@{userName=ray.bishun; domainName=bitsbyteslab}","System.Object[]","System.Object[]"
"da637271702769169196_-440965560","42",,,"High","New",,,"UnsupportedAlertType","CustomDetection","SuspiciousActivity",,"Notepad Execution Detected","Notepad can be used to...","2020-06-07T23:44:36.6669276Z","2020-05-23T14:34:40.0410804Z","2020-05-23T14:34:53.2432907Z","2020-06-07T23:44:38.04Z",,"201837e5b903c71207fe84a777386fe0bd41d0a0","x1extreme.bitsbyteslab.local","180d0ab3-320f-4979-841a-a7590105e3a2","@{userName=ray; domainName=x1extreme}","System.Object[]","System.Object[]"
"da637271702760888034_1780288347","41",,,"High","New",,,"UnsupportedAlertType","CustomDetection","SuspiciousActivity",,"Notepad Execution Detected","Notepad can be used to...","2020-06-07T23:44:35.7811064Z","2020-05-31T17:14:01.5193493Z","2020-05-31T17:14:01.5193493Z","2020-06-07T23:44:36.8233333Z",,"201837e5b903c71207fe84a777386fe0bd41d0a0","x1extreme.bitsbyteslab.local","180d0ab3-320f-4979-841a-a7590105e3a2","@{userName=ray; domainName=x1extreme}","System.Object[]","System.Object[]"
"da637271702743387676_1806598261","40",,,"High","New",,,"UnsupportedAlertType","CustomDetection","SuspiciousActivity",,"Notepad Execution Detected","Notepad can be used to...","2020-06-07T23:44:34.0732803Z","2020-06-07T22:29:13.5700344Z","2020-06-07T22:29:13.5700344Z","2020-06-07T23:44:36.33Z",,"201837e5b903c71207fe84a777386fe0bd41d0a0","x1extreme.bitsbyteslab.local","180d0ab3-320f-4979-841a-a7590105e3a2","@{userName=ray; domainName=x1extreme}","System.Object[]","System.Object[]"
